RestaurantID,RestaurantName,CuisineType,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrdersCount,UberEatsOrdersCount,DoorDashOrdersCount,SelfDeliveryOrdersCount,InStoreRevenue,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,TotalRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,TotalNetProfit,InStoreShare,UE_share,DD_share,SD_share
91,The Copper Pan #91,Seafood,QSR,Manukau,1.0167,32.74,5192,1642,1114,1340,1096,53759.08,40091.36,47672.28,36602.45,178125.17,0.3318,0.3578,0.2032,8.3,3.6,3945.6,16686.82,4297.79,5110.47,7415.8,33510.88,0.3163,0.3138,0.3775,0.3087
92,Kiwi Kitchen Co #92,Indian,Food Truck,East Auckland,1.0063,33.1,1488,503,374,231,380,16649.3,12904.07,8133.98,13033.6,50720.95,0.3082,0.2883,0.2666,12.4,2.7,1026.0,6717.99,1766.57,1113.54,4233.06,13831.16,0.338,0.3797,0.2345,0.3858
93,Manuka Street Food #93,Seafood,Fine Dining,Ponsonby,1.0113,46.72,1148,631,159,184,174,29480.32,8101.77,9508.28,8186.34,55276.71,0.3522,0.3789,0.2967,10.2,2.32,403.68,7927.26,-225.23,-264.33,1797.63,9235.33,0.5497,0.3075,0.3559,0.3366
94,Little Saigon #94,Italian,Casual Dining,South Auckland,0.99,42.2,1894,695,499,401,299,29329.0,23574.18,18647.99,13345.87,84897.04,0.2976,0.3452,0.2845,4.9,1.75,523.25,10476.32,1713.84,1355.71,4243.89,17789.76,0.3669,0.4162,0.3344,0.2494
95,Westfield Wok #95,Korean BBQ,Fine Dining,South Auckland,0.99,46.01,739,391,157,82,109,17989.91,7857.16,4309.25,5104.04,35260.36,0.3179,0.3998,0.2883,4.5,5.07,552.63,5078.55,-47.14,-25.86,888.24,5893.79,0.5291,0.4511,0.2356,0.3132
96,Kowhai Kitchen #96,Cafe/Brunch,Fine Dining,Auckland CBD,0.99,43.76,937,534,152,126,125,23367.84,7535.31,6313.06,5554.63,42770.84,0.3347,0.4864,0.3196,13.4,2.59,323.75,4180.51,-1060.22,-888.25,669.97,2902.01,0.5699,0.3772,0.3127,0.3102
97,Southern Smoke BBQ #97,Bakery/Desserts,Bar/Pub,Ponsonby,0.99,37.18,1780,813,288,285,394,30227.34,11074.64,11745.88,15017.93,68065.79,0.2723,0.3485,0.2915,13.7,5.13,2021.22,11462.21,971.25,1030.11,3673.58,17137.15,0.4567,0.2978,0.2947,0.4074
98,Volcano Pizza #98,Bakery/Desserts,QSR,Devonport,0.9975,29.79,5746,1929,1599,1275,943,57464.91,50945.85,42780.02,30119.92,181310.7,0.3101,0.2305,0.304,10.6,4.33,4083.19,26399.38,7916.99,6648.02,9753.9,50718.29,0.3357,0.4189,0.334,0.2471
99,Arataki Eatery #99,Sushi,Casual Dining,Auckland CBD,0.9923,39.34,2137,740,449,372,576,29111.6,19178.77,16434.74,24103.66,88828.77,0.257,0.3706,0.2518,14.7,0.89,512.64,10841.16,2312.96,1982.03,8463.56,23599.71,0.3463,0.3214,0.2663,0.4123
100,Ponsonby Pizza Co #100,Sushi,QSR,East Auckland,1.009,29.79,3985,1198,994,950,843,35688.42,31867.71,30674.05,27015.31,125245.49,0.2764,0.2253,0.2471,13.2,2.07,1745.01,17783.54,8005.17,7705.32,11716.72,45210.75,0.3006,0.3567,0.3409,0.3025
101,Kiwi Kitchen Co #101,Italian,Casual Dining,East Auckland,1.0227,31.97,2192,733,516,474,469,23434.01,17059.32,16844.63,15775.97,73113.93,0.3561,0.3773,0.3284,11.9,2.06,966.14,6247.51,-1054.27,-1041.0,3239.73,7391.97,0.3344,0.3537,0.3249,0.3215
102,Blue Wave Sushi #102,Burgers,QSR,East Auckland,1.0083,33.58,5000,1408,1583,1234,775,47280.64,55281.23,42688.05,27404.68,172654.6,0.3024,0.2172,0.283,6.3,2.71,2100.25,22713.62,10912.51,8426.62,11064.96,53117.71,0.2816,0.4407,0.3435,0.2158
103,Kiwi Kitchen Co #103,Indian,Casual Dining,Newmarket,0.9905,39.67,2075,705,460,467,443,27967.35,20600.22,20722.0,18248.69,87538.26,0.2775,0.4064,0.2613,15.6,2.73,1209.39,8840.48,1128.89,1135.57,4559.02,15663.96,0.3398,0.3358,0.3409,0.3234
104,The Grill House #104,Thai,Casual Dining,North Shore,1.0051,33.93,2041,794,684,297,266,26940.42,25133.7,11538.79,9678.95,73291.86,0.3907,0.3989,0.2614,11.4,5.31,1412.46,5668.26,-1281.82,-588.48,623.99,4421.95,0.389,0.5485,0.2382,0.2133
105,Tui Table #105,Bakery/Desserts,Cafe,South Auckland,1.0207,29.79,4221,1712,1213,829,467,51000.48,37086.85,25462.64,14480.51,128030.48,0.2791,0.4454,0.2605,8.1,1.62,756.54,14050.63,556.3,381.94,3232.84,18221.71,0.4056,0.4835,0.3304,0.1861
106,Tui Table #106,Bakery/Desserts,Casual Dining,North Shore,0.9914,42.8,2300,888,534,475,403,38006.4,23361.3,22946.37,17738.34,102052.41,0.3315,0.4224,0.2587,7.2,3.05,1229.15,9353.38,-294.35,-289.12,3136.26,11906.17,0.3861,0.3782,0.3364,0.2854
107,Tui Table #107,Sushi,Fine Dining,West Auckland,0.99,43.31,817,440,156,97,124,19056.4,7307.35,4794.63,5645.57,36803.95,0.362,0.4289,0.2415,10.4,3.48,431.52,3984.69,-236.76,-155.35,748.97,4341.55,0.5386,0.4138,0.2573,0.3289
108,Arataki Eatery #108,Korean BBQ,Fine Dining,Newmarket,1.0054,47.23,663,376,133,70,84,17758.48,6541.45,3469.44,4140.66,31910.03,0.339,0.4909,0.235,3.7,2.8,235.2,3020.72,-424.54,-225.17,469.13,2840.14,0.5671,0.4634,0.2439,0.2927
109,Fenwick's Bistro #109,Pizza,Cafe,Newmarket,1.0017,30.99,3114,1300,751,656,407,40287.0,25872.36,22123.01,12738.07,101020.44,0.2582,0.2801,0.2741,11.9,2.92,1188.44,18600.51,4853.65,4150.28,4692.73,32297.17,0.4175,0.414,0.3616,0.2244
110,Gecko Cafe #110,Vegan/Plant-Based,Casual Dining,Auckland CBD,1.0157,39.43,2268,803,699,463,303,31662.29,30962.45,20823.29,12322.65,95770.68,0.3837,0.3319,0.2622,6.2,1.65,499.95,9004.76,687.37,462.28,3004.61,13159.02,0.3541,0.4771,0.316,0.2068
111,Kowhai Kitchen #111,Mexican,Bar/Pub,Waitakere,1.0018,41.66,2350,1004,490,357,499,41826.64,21427.51,17026.61,21309.42,101590.18,0.2901,0.3567,0.3132,10.8,2.92,1457.08,14773.17,857.1,681.06,6069.41,22380.74,0.4272,0.364,0.2652,0.3707
112,Tui Table #112,Korean BBQ,QSR,West Auckland,1.0225,32.46,4377,1205,1405,837,930,39114.3,50029.34,28164.08,32232.92,149540.64,0.3247,0.2,0.2888,7.7,3.36,3124.8,18591.03,9330.47,5252.6,12195.51,45369.61,0.2753,0.4429,0.2639,0.2932
113,Silver Fern Diner #113,Cafe/Brunch,QSR,North Shore,0.9965,29.79,6389,1690,1805,1680,1214,50345.1,55925.97,53318.81,37261.13,196851.01,0.3173,0.2981,0.288,8.6,3.16,3836.24,19362.73,5402.45,5150.6,10494.39,40410.17,0.2645,0.3841,0.3575,0.2584
114,The Copper Pan #114,Korean BBQ,QSR,West Auckland,1.0118,31.62,6618,2377,1304,1558,1379,75160.74,43684.4,54720.38,46469.83,220035.35,0.2699,0.249,0.2577,6.9,3.43,4729.97,36159.83,9759.09,12224.53,17626.67,75770.12,0.3592,0.3075,0.3674,0.3252
115,Karaka Kebabs #115,Pizza,Casual Dining,North Shore,1.0028,37.88,1981,778,339,440,424,29470.64,14581.88,17480.6,16629.54,78162.66,0.3583,0.3851,0.2764,8.9,4.35,1844.4,7562.17,-288.72,-346.12,2422.74,9350.07,0.3927,0.2818,0.3658,0.3525
116,Mango Tree Thai #116,Italian,Cafe,East Auckland,0.99,29.79,2573,1120,451,434,568,33364.8,14654.31,13733.3,17940.7,79693.11,0.2547,0.2961,0.2908,16.1,3.83,2175.44,14987.47,2321.24,2175.35,5883.52,25367.58,0.4353,0.3104,0.2987,0.3909
117,Harbor Bites #117,Italian,Fine Dining,Newmarket,0.99,44.1,685,384,101,98,102,16934.4,5056.14,4421.32,4546.88,30958.74,0.3585,0.4712,0.3015,14.3,2.88,293.76,2883.93,-663.37,-580.08,480.57,2121.05,0.5606,0.3355,0.3256,0.3389
118,Ponsonby Pizza Co #118,Indian,Casual Dining,Manukau,1.0163,35.4,2832,962,636,565,669,34054.8,23623.96,20800.2,25434.45,103913.41,0.2708,0.381,0.2772,10.7,1.51,1010.19,11857.88,1677.3,1476.81,7846.09,22858.08,0.3397,0.3401,0.3021,0.3578
119,Southern Smoke BBQ #119,Burgers,Cafe,Devonport,0.9997,34.24,2628,1148,598,317,565,39307.52,21763.5,11864.63,20089.34,93024.99,0.2188,0.42,0.3124,9.4,2.14,1209.1,14197.88,1062.06,578.99,6047.17,21886.1,0.4368,0.4041,0.2142,0.3818
120,Spice Route #120,Vegan/Plant-Based,Bar/Pub,East Auckland,0.99,36.12,2638,1269,541,438,390,45836.28,21128.11,17480.16,14379.58,98824.13,0.2695,0.3403,0.2802,12.5,2.56,998.4,17885.32,2324.09,1922.82,4612.51,26744.74,0.481,0.3952,0.3199,0.2849
121,The Copper Pan #121,Chinese,Fine Dining,Auckland CBD,0.9956,44.01,1033,556,128,218,131,24469.56,6097.52,10595.41,5876.69,47039.18,0.3257,0.4116,0.3038,13.5,3.08,403.48,6428.15,-250.61,-435.47,1140.33,6882.4,0.5382,0.2683,0.457,0.2746
122,Volcano Pizza #122,Seafood,QSR,Auckland CBD,1.0289,31.63,6377,2561,1303,1098,1415,81004.43,47383.37,38938.53,45705.56,213031.89,0.2403,0.2877,0.2653,6.6,2.27,3212.05,38234.09,9794.14,8048.59,18360.97,74437.79,0.4016,0.3415,0.2877,0.3708
123,Arataki Eatery #123,Thai,Cafe,West Auckland,0.99,31.78,3419,1302,700,518,899,41377.56,23021.89,17680.01,29408.41,111487.87,0.2962,0.2828,0.2256,9.2,1.77,1591.23,17419.95,4498.48,3454.67,10789.71,36162.81,0.3808,0.3307,0.2447,0.4247
124,Fenwick's Bistro #124,Chinese,Cafe,West Auckland,0.99,33.16,4369,1968,1138,519,744,65258.88,42670.28,18166.12,26087.2,152182.48,0.3436,0.3703,0.2881,3.1,1.49,1108.56,18670.57,-85.34,-36.33,6354.99,24903.89,0.4504,0.474,0.2162,0.3099
125,Manuka Street Food #125,Korean BBQ,QSR,Ponsonby,0.9982,29.79,3771,1073,1170,891,637,31964.67,39464.78,27127.51,20417.82,118974.78,0.3417,0.3295,0.3018,13.4,0.98,624.26,10509.98,1065.55,732.44,6089.12,18397.09,0.2845,0.4337,0.3302,0.2361
126,Silver Fern Diner #126,Pizza,QSR,Ponsonby,1.0339,29.79,5058,1294,1275,1307,1182,38548.26,41473.42,40760.12,37096.42,157878.22,0.2923,0.4235,0.2973,16.7,2.54,3002.28,10955.42,-543.3,-533.96,7540.52,17418.68,0.2558,0.3387,0.3472,0.314
127,Golden Wok #127,Vegan/Plant-Based,Bar/Pub,Ponsonby,1.0062,39.87,1980,835,568,387,190,33291.45,24111.93,16364.89,7906.9,81675.17,0.2603,0.3089,0.2927,9.8,1.18,224.2,14341.96,3329.86,2259.99,3182.09,23113.9,0.4217,0.4961,0.338,0.1659
128,Rangitoto Roast #128,Vegan/Plant-Based,Cafe,Waitakere,1.0165,29.79,4386,1739,985,808,854,51804.81,31910.66,25109.36,26353.67,135178.5,0.3066,0.3366,0.2695,3.0,1.7,1451.8,18483.96,2785.8,2192.05,7951.19,31413.0,0.3965,0.3721,0.3053,0.3226
129,Mango Tree Thai #129,Chinese,Cafe,Manukau,0.99,29.79,3521,1549,760,501,711,46144.71,23954.01,15262.37,22584.03,107945.12,0.3137,0.3212,0.2558,11.6,2.37,1685.07,16847.43,2618.17,1668.18,6560.36,27694.14,0.4399,0.3854,0.2541,0.3605
130,Arataki Eatery #130,Cafe/Brunch,Casual Dining,Waitakere,0.99,39.55,3047,1022,1065,492,468,40420.1,47338.84,20246.05,19767.53,127772.52,0.3097,0.3906,0.2966,6.3,1.33,622.44,12113.9,146.75,62.76,5301.89,17625.3,0.3354,0.5259,0.243,0.2311
131,Silver Fern Diner #131,Burgers,Casual Dining,East Auckland,1.0127,39.62,2112,755,506,435,416,29913.1,21747.29,19071.8,16868.31,87600.5,0.321,0.3991,0.2928,7.2,3.22,1339.52,8372.68,-280.54,-246.03,3381.92,11228.03,0.3575,0.3729,0.3206,0.3066
132,Silver Fern Diner #132,Bakery/Desserts,Bar/Pub,Waitakere,1.0029,30.64,2840,1418,546,635,241,43447.52,19077.58,21437.96,7947.46,91910.52,0.269,0.3373,0.2632,11.7,3.61,870.01,17105.29,2489.62,2797.65,2258.91,24651.47,0.4993,0.384,0.4466,0.1695
133,Golden Wok #133,Bakery/Desserts,Fine Dining,Devonport,1.0052,45.8,904,478,102,209,115,21892.4,5143.2,10928.0,5433.49,43397.09,0.3666,0.5043,0.3133,10.4,2.2,253.0,2826.31,-947.38,-2012.94,448.46,314.45,0.5288,0.2394,0.4906,0.27
134,Silver Fern Diner #134,Cafe/Brunch,Cafe,Devonport,1.0022,33.57,3394,1504,528,845,517,50489.28,19264.58,31877.36,18466.56,120097.78,0.276,0.3192,0.2535,7.8,2.32,1199.44,20438.06,2914.73,4823.04,6275.82,34451.65,0.4431,0.2794,0.4471,0.2735
135,Tui Table #135,Burgers,Cafe,Waitakere,1.0092,32.31,4401,2345,936,596,524,75766.95,33642.56,21063.2,18239.93,148712.64,0.2764,0.3993,0.2625,7.2,3.39,1776.36,24571.22,2079.11,1301.71,4138.85,32090.89,0.5328,0.4553,0.2899,0.2549
136,Ocean & Vine #136,Pizza,Food Truck,Auckland CBD,1.0124,32.21,1410,548,258,333,271,17651.08,9020.79,11132.25,9220.28,47024.4,0.3314,0.2769,0.3291,9.9,2.01,544.71,6913.93,564.7,696.88,3066.87,11242.38,0.3887,0.2993,0.3863,0.3144
137,Waterfront Grill #137,Pizza,Casual Dining,Devonport,1.0177,33.09,2483,821,652,467,543,27166.89,24543.05,16895.25,18200.09,86805.28,0.3563,0.3794,0.3061,8.1,1.94,1053.42,7180.21,-1025.9,-706.22,3756.86,9204.95,0.3306,0.3923,0.281,0.3267
138,The Grill House #138,Mexican,Food Truck,South Auckland,1.0221,31.16,1611,600,378,269,364,18696.0,12296.47,8616.8,11874.09,51483.36,0.3043,0.2343,0.2693,5.6,4.12,1499.68,8626.33,2362.15,1655.29,3979.03,16622.8,0.3724,0.3739,0.2661,0.36
139,Urban Burger Bar #139,Korean BBQ,QSR,Devonport,0.99,30.94,3999,1088,1011,1096,804,33662.72,35864.01,36487.93,25112.13,131126.79,0.3516,0.4213,0.2886,8.3,3.77,3031.08,7644.8,-2205.64,-2244.01,2671.88,5867.03,0.2721,0.3473,0.3765,0.2762
140,The Copper Pan #140,Sushi,Bar/Pub,Manukau,0.99,34.31,1944,857,458,319,310,29403.67,17687.42,11719.06,11307.57,70117.72,0.2484,0.2991,0.2846,10.7,3.46,1072.6,13305.16,2969.72,1967.63,4044.08,22286.59,0.4408,0.4213,0.2935,0.2852
141,Pohutukawa Pub #141,Vegan/Plant-Based,Casual Dining,Ponsonby,1.021,41.05,2166,717,359,503,587,29432.85,16680.68,22209.48,24638.64,92961.65,0.3687,0.3949,0.2,8.9,3.82,2242.34,6957.93,607.18,808.43,3582.23,11955.77,0.331,0.2478,0.3471,0.4051
142,Cafe Aroha #142,Sushi,QSR,South Auckland,1.0298,37.18,4080,1229,1012,894,945,45694.22,40740.78,35112.84,37089.22,158637.06,0.3163,0.2625,0.2528,4.6,0.89,841.05,19246.41,6860.75,5913.0,14780.93,46801.09,0.3012,0.355,0.3136,0.3315
143,Kowhai Kitchen #143,Chinese,Casual Dining,Newmarket,0.9907,44.28,3142,1106,738,657,641,48973.68,36888.83,32267.58,30450.0,148580.09,0.4,0.4693,0.2785,13.0,4.29,2749.89,6400.86,-5452.17,-4769.15,1229.93,-2590.53,0.352,0.3625,0.3227,0.3148
144,Nikau Noodle House #144,Steakhouse,Casual Dining,Ponsonby,0.99,42.6,2712,962,549,596,605,40981.2,24787.85,28673.05,26146.21,120588.31,0.2842,0.4243,0.2693,3.0,3.23,1954.15,11946.02,550.29,636.54,5667.47,18800.32,0.3547,0.3137,0.3406,0.3457
145,Pohutukawa Pub #145,Bar & Grill,QSR,South Auckland,1.0135,31.62,4823,1567,1427,1131,698,49548.54,50493.63,40050.37,22764.41,162856.95,0.2793,0.2661,0.2874,7.9,3.91,2729.18,22524.77,8442.53,6696.42,7619.52,45283.24,0.3249,0.4383,0.3474,0.2144
146,Manuka Street Food #146,Korean BBQ,Cafe,East Auckland,1.019,32.23,3275,1406,706,594,569,45315.38,23624.93,21089.86,19288.26,109318.43,0.2926,0.3756,0.3139,7.3,3.23,1837.87,15035.64,422.89,377.51,4561.97,20398.01,0.4293,0.3777,0.3178,0.3044
147,Harbor Bites #147,Burgers,Fine Dining,Manukau,1.024,47.23,884,465,120,191,108,21961.95,6007.18,9832.68,5272.09,43073.9,0.3619,0.4629,0.2704,10.0,2.85,307.8,3847.73,-571.88,-936.07,615.87,2955.65,0.526,0.2864,0.4558,0.2578
148,Southern Smoke BBQ #148,Sushi,QSR,Devonport,1.0197,32.42,5726,1885,1661,1250,930,61111.7,58046.94,41499.26,30572.27,191230.17,0.3585,0.2742,0.2483,11.5,2.5,2325.0,22446.33,6907.59,4938.41,8904.19,43196.52,0.3292,0.4324,0.3254,0.2421
149,Kiwi Kitchen Co #149,Indian,Cafe,Waitakere,0.9994,31.46,4268,1729,731,994,814,54394.34,24420.83,34835.58,25668.0,139318.75,0.2599,0.3879,0.2897,13.4,3.2,2604.8,19157.69,1526.3,2177.22,6435.47,29296.68,0.4051,0.2879,0.3915,0.3206
150,Harbor Bites #150,Indian,Cafe,Ponsonby,0.9916,33.88,4247,1823,759,1033,632,61763.24,27522.99,38177.53,22108.65,149572.41,0.3071,0.3695,0.2702,7.0,2.46,1554.72,19974.23,1464.22,2031.04,5595.22,29064.71,0.4292,0.3131,0.4262,0.2607
151,Manuka Street Food #151,Bakery/Desserts,Cafe,South Auckland,1.0052,30.79,3195,1398,511,593,693,43044.42,17725.79,19266.27,22445.67,102482.15,0.3149,0.3608,0.2753,11.6,3.75,2598.75,13959.31,868.56,944.05,4680.38,20452.3,0.4376,0.2844,0.33,0.3856
152,Kowhai Kitchen #152,Vegan/Plant-Based,Bar/Pub,Manukau,0.9975,33.45,1970,970,364,445,191,32446.5,12825.6,15817.36,6682.32,67771.78,0.2811,0.3379,0.2712,10.2,1.05,200.55,12362.12,1408.25,1736.75,2345.41,17852.53,0.4924,0.364,0.445,0.191
153,The Brass Fork #153,Indian,Fine Dining,East Auckland,0.99,43.55,865,476,140,135,114,20729.8,6809.66,6711.92,5026.76,39278.14,0.3212,0.4716,0.3473,3.5,2.2,250.8,4295.21,-954.03,-940.34,790.74,3191.58,0.5503,0.3599,0.347,0.2931
154,Kowhai Kitchen #154,Bakery/Desserts,QSR,Newmarket,1.0427,34.22,5643,1715,1242,1514,1172,58687.3,43758.54,57050.45,41551.88,201048.17,0.3422,0.3115,0.2128,16.2,5.05,5918.6,20323.41,5841.77,7616.24,8470.82,42252.24,0.3039,0.3162,0.3854,0.2984
155,The Copper Pan #155,Italian,Food Truck,South Auckland,1.0368,30.01,1520,580,342,322,276,17405.8,11490.37,10454.33,8527.58,47878.08,0.3269,0.253,0.2683,4.5,2.11,582.36,7312.18,1744.24,1586.97,3000.08,13643.47,0.3816,0.3638,0.3426,0.2936
156,Arataki Eatery #156,Italian,Bar/Pub,Manukau,1.019,37.19,2455,1289,509,333,324,47937.91,21257.36,13631.61,12313.88,95140.76,0.278,0.3079,0.2799,11.0,2.54,822.96,19851.09,2852.74,1829.36,4276.22,28809.41,0.5251,0.4365,0.2856,0.2779
157,Spice Route #157,Thai,QSR,North Shore,0.9982,34.35,5360,1773,1640,1176,771,60902.55,60402.49,43376.25,28028.96,192710.25,0.3061,0.3847,0.2566,10.9,1.83,1410.93,18831.07,3177.17,2281.59,7255.62,31545.45,0.3308,0.4572,0.3279,0.2149
158,Silver Fern Diner #158,Sushi,Bar/Pub,Ponsonby,1.0148,34.69,1992,916,331,467,278,31776.04,12790.49,17514.45,9882.72,71963.7,0.2668,0.2875,0.307,10.5,3.17,881.26,14162.58,1774.04,2429.25,3523.47,21889.34,0.4598,0.3076,0.434,0.2584
159,Karaka Kebabs #159,Bakery/Desserts,QSR,South Auckland,1.0216,34.65,4821,1310,1391,1389,731,45391.5,54896.15,50907.82,26423.66,177619.13,0.2976,0.3214,0.3044,7.8,1.99,1454.69,17294.16,4205.05,3899.54,8612.72,34011.47,0.2717,0.3962,0.3956,0.2082
160,Tui Table #160,Burgers,Food Truck,South Auckland,1.0166,31.33,1414,554,281,335,244,17356.82,9896.21,11305.61,8209.13,46767.77,0.3092,0.234,0.2786,12.4,2.6,634.4,7928.6,1763.5,2014.66,3115.53,14822.29,0.3918,0.3267,0.3895,0.2837
161,Pohutukawa Pub #161,Sushi,Casual Dining,Manukau,1.0247,33.68,2016,669,461,528,358,22531.92,16625.1,19723.65,12577.62,71458.29,0.3209,0.468,0.2719,4.0,3.73,1335.34,4756.49,-1010.81,-1199.2,1319.8,3866.28,0.3318,0.3422,0.392,0.2658
162,Arataki Eatery #162,Cafe/Brunch,Casual Dining,East Auckland,1.0155,43.05,2111,767,524,393,427,33019.35,24429.35,17344.87,19289.74,94083.31,0.2945,0.3348,0.2766,9.3,2.03,866.81,12240.27,2298.8,1632.15,6283.9,22455.12,0.3633,0.3899,0.2924,0.3177
163,Nikau Noodle House #163,Indian,QSR,Ponsonby,1.0231,30.25,6032,1719,2359,1020,934,51999.75,80016.86,34661.07,28419.06,195096.74,0.2685,0.2632,0.2769,7.5,3.67,3427.78,24351.48,15315.23,6634.13,9880.87,56181.71,0.285,0.547,0.2365,0.2166
164,Nikau Noodle House #164,Pizza,Bar/Pub,Manukau,1.0116,30.21,2077,939,385,471,282,28367.19,12305.87,15036.93,8640.63,64350.62,0.2374,0.2915,0.2776,7.1,3.7,1043.4,13363.78,2381.19,2909.65,3027.2,21681.82,0.4521,0.3383,0.4139,0.2478
165,Nikau Noodle House #165,Burgers,QSR,Manukau,1.0171,29.79,4383,1201,1312,1066,804,35777.79,43950.68,35209.07,24144.59,139082.13,0.3067,0.3162,0.2744,11.0,3.96,3183.84,13491.8,4513.73,3615.97,5921.08,27542.58,0.274,0.4123,0.335,0.2527
166,Kiwi Kitchen Co #166,Bar & Grill,QSR,North Shore,0.99,29.79,5342,1815,1385,1170,972,54068.85,43844.0,38463.61,30727.55,167104.01,0.2992,0.2313,0.2876,13.3,2.95,2867.4,25385.33,7975.22,6996.53,11559.18,51916.26,0.3398,0.3927,0.3317,0.2756
167,Ocean & Vine #167,Bakery/Desserts,QSR,Auckland CBD,1.0133,32.18,6077,2024,1586,1260,1207,65132.32,57405.87,44797.79,41438.72,208774.7,0.3065,0.2761,0.3026,8.3,5.31,6409.17,27186.23,6590.19,5142.79,10887.35,49806.56,0.3331,0.3913,0.3109,0.2978
168,Blue Wave Sushi #168,Pizza,Fine Dining,South Auckland,0.99,44.04,761,441,89,105,126,19421.64,4042.18,5082.26,5631.81,34177.89,0.365,0.3424,0.2431,12.2,3.96,498.96,5682.77,200.09,251.57,1148.91,7283.34,0.5795,0.2781,0.3281,0.3938
169,Urban Burger Bar #169,Indian,QSR,Newmarket,0.9928,30.82,6175,2243,1728,1257,947,69129.26,54629.48,44345.88,29698.52,197803.14,0.2812,0.312,0.2485,9.7,3.16,2992.52,28121.78,8647.85,7019.95,9088.84,52878.42,0.3632,0.4395,0.3197,0.2408
170,The Grill House #170,Italian,Bar/Pub,Newmarket,1.0272,38.17,2840,1512,593,305,430,57713.04,26023.19,12644.04,16837.49,113217.76,0.304,0.315,0.2275,6.4,1.84,791.2,21988.67,3994.56,1940.86,5623.88,33547.97,0.5324,0.4465,0.2297,0.3238
171,Spice Route #171,Korean BBQ,Casual Dining,Waitakere,1.0319,39.19,2840,1142,543,597,558,44754.98,24111.06,26091.73,22902.08,117859.85,0.312,0.3056,0.306,8.6,2.69,1501.02,17114.3,1842.08,1993.41,7256.74,28206.53,0.4021,0.3198,0.3516,0.3286
172,Golden Wok #172,Bar & Grill,QSR,Waitakere,1.0324,33.11,5913,1586,1923,1389,1015,52512.46,72251.42,51127.24,35278.37,211169.49,0.287,0.3543,0.2875,8.5,4.37,4435.55,18836.22,5144.3,3640.26,8218.8,35839.58,0.2682,0.4444,0.321,0.2346
173,Tui Table #173,Vegan/Plant-Based,QSR,South Auckland,1.0158,33.43,3864,1316,951,806,791,43993.88,36359.36,28311.07,27895.92,136560.23,0.3145,0.2346,0.2952,7.1,4.68,3701.88,19836.84,5661.15,4408.03,8876.39,38782.41,0.3406,0.3732,0.3163,0.3104
174,Gecko Cafe #174,Steakhouse,QSR,North Shore,1.0323,34.16,6803,1910,1661,1876,1356,65245.6,61107.65,67726.05,49675.31,243754.61,0.2449,0.3398,0.2371,11.0,4.43,6007.08,27096.5,10889.38,12068.78,14623.08,64677.74,0.2808,0.3395,0.3834,0.2771
175,Volcano Pizza #175,Thai,Casual Dining,Auckland CBD,1.0062,30.62,2447,760,693,456,538,23271.2,22435.31,15011.63,16862.39,77580.53,0.2963,0.3449,0.3335,10.3,3.66,1969.08,8349.71,567.61,379.79,4081.15,13378.26,0.3106,0.4108,0.2703,0.3189
176,The Copper Pan #176,Sushi,Fine Dining,South Auckland,1.0,43.72,1129,613,199,126,191,26800.36,9021.35,5817.76,8790.6,50430.07,0.3794,0.5301,0.2617,3.9,1.42,271.22,2425.43,-1544.46,-996.0,524.33,409.3,0.543,0.3857,0.2442,0.3702
177,Gecko Cafe #177,Mexican,QSR,South Auckland,0.9956,29.79,5422,1898,1160,1480,884,56541.42,37499.13,47073.01,27513.56,168627.12,0.2479,0.3375,0.285,3.7,3.34,2952.56,23442.07,4859.89,6100.66,8454.56,42857.18,0.3501,0.3292,0.42,0.2509
178,Ponsonby Pizza Co #178,Mexican,Bar/Pub,North Shore,1.008,36.13,1558,780,323,274,181,28181.4,12237.22,10600.76,6699.53,57718.91,0.2935,0.2896,0.3056,11.0,1.43,258.83,11748.83,1362.0,1179.86,2534.2,16824.89,0.5006,0.4152,0.3522,0.2326
179,The Brass Fork #179,Burgers,QSR,West Auckland,1.0129,31.98,3809,1621,901,705,582,51839.58,32894.66,24766.73,19963.49,129464.46,0.3453,0.2541,0.2504,6.6,1.16,675.12,20766.94,4940.78,3719.96,7322.25,36749.93,0.4256,0.4118,0.3222,0.266
180,Karaka Kebabs #180,Bar & Grill,Fine Dining,Auckland CBD,0.99,47.23,987,582,153,136,116,27487.86,7374.47,6735.36,5520.53,47118.22,0.3389,0.4803,0.2636,10.6,3.06,354.96,4969.81,-610.61,-557.69,643.15,4444.66,0.5897,0.3778,0.3358,0.2864
181,Hibiscus Grill #181,Pizza,Bar/Pub,Waitakere,1.0012,40.16,2286,1043,431,495,317,41886.88,17977.36,22355.31,13455.86,95675.41,0.2688,0.3269,0.2854,12.2,3.38,1071.46,16934.87,2137.51,2658.05,4368.74,26099.17,0.4563,0.3467,0.3982,0.255
